x,y,sim
0,0,0.9999998807907104
0,1,0.873304009437561
0,2,0.9440664052963257
0,3,0.379451721906662
0,4,0.8201094269752502
0,5,0.5422406196594238
0,6,0.46167007088661194
0,7,0.4013875722885132
0,8,0.7894183993339539
0,9,0.688631534576416
0,10,0.5467652678489685
0,11,0.5724907517433167
0,12,0.6335665583610535
0,13,0.5256305932998657
0,14,0.15249589085578918
0,15,0.1944894641637802
0,16,0.145281121134758
0,17,0.169087216258049
0,18,0.7900351881980896
0,19,0.4336291253566742
0,20,0.2555391192436218
0,21,0.18410035967826843
0,22,0.30901002883911133
0,23,0.22085878252983093
0,24,0.29929715394973755
0,25,0.17424288392066956
0,26,0.24008634686470032
0,27,0.608610987663269
0,28,0.7180961966514587
0,29,0.5442477464675903
0,30,0.3139196038246155
0,31,0.2352888584136963
0,32,0.3993019759654999
0,33,0.3958452343940735
0,34,0.2372744083404541
0,35,0.16134993731975555
0,36,0.19104304909706116
0,37,0.44378408789634705
0,38,0.2836596965789795
0,39,0.3250407874584198
0,40,0.21927513182163239
0,41,0.42755380272865295
0,42,0.13763774931430817
0,43,0.14306145906448364
0,44,0.4166259169578552
0,45,0.45171985030174255
0,46,0.29787734150886536
0,47,0.23282751441001892
0,48,0.16736049950122833
0,49,0.2074769139289856
0,50,0.3083763122558594
0,51,0.29988789558410645
0,52,0.33082157373428345
0,53,0.29278597235679626
0,54,0.1777319759130478
0,55,0.1634826511144638
0,56,0.5558179616928101
0,57,0.30903369188308716
0,58,0.6878053545951843
0,59,0.14963416755199432
0,60,0.2576010823249817
0,61,0.24308761954307556
0,62,0.29251039028167725
0,63,0.24846817553043365
0,64,0.2071107029914856
0,65,0.2518687844276428
0,66,0.3533618450164795
0,67,0.14901277422904968
0,68,0.48427680134773254
0,69,0.2577127516269684
0,70,0.17361904680728912
0,71,0.6902036070823669
0,72,0.40861526131629944
0,73,0.23440204560756683
0,74,0.25033754110336304
0,75,0.36155831813812256
0,76,0.18052136898040771
0,77,0.2333592176437378
0,78,0.161154642701149
0,79,0.1857253909111023
0,80,0.14721117913722992
0,81,0.16454049944877625
0,82,0.16886740922927856
0,83,0.15273360908031464
0,84,0.21832363307476044
0,85,0.1722896695137024
0,86,0.25225523114204407
0,87,0.35613930225372314
0,88,0.21997608244419098
0,89,0.24505063891410828
0,90,0.3794891834259033
0,91,0.20212572813034058
0,92,0.25106632709503174
0,93,0.35714295506477356
