item,idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,1,No,No,0.4901140332221985,0.030632995069026947
1,2,No,No,0.4901140332221985,0.04991098865866661
1,3,No,No,0.4901140332221985,0.025629732757806778
1,4,No,No,0.4901140332221985,0.02771228365600109
2,5,Yes,No,0.6024596691131592,0.034622229635715485
2,6,Yes,No,0.6024596691131592,0.03329826146364212
2,7,Yes,No,0.6024596691131592,0.02598579414188862
2,8,Yes,Yes,0.6024596691131592,0.5258123278617859
3,9,Yes,No,0.7411974668502808,0.31436923146247864
3,10,Yes,No,0.7411974668502808,0.16804993152618408
3,11,Yes,No,0.7411974668502808,0.39858752489089966
3,12,Yes,Yes,0.7411974668502808,0.9385339021682739
4,13,Yes,No,0.9740004539489746,0.07068733870983124
4,14,Yes,No,0.9740004539489746,0.24149960279464722
4,15,Yes,No,0.9740004539489746,0.06131971627473831
4,16,Yes,No,0.9740004539489746,0.12877024710178375
5,17,Yes,No,0.9661465287208557,0.024825187399983406
5,18,Yes,No,0.9661465287208557,0.07695845514535904
5,19,Yes,No,0.9661465287208557,0.04506102576851845
5,20,Yes,No,0.9661465287208557,0.0707056075334549
6,21,Yes,No,0.9715287089347839,0.02162952907383442
6,22,Yes,No,0.9715287089347839,0.07447422295808792
6,23,Yes,No,0.9715287089347839,0.0671558827161789
6,24,Yes,No,0.9715287089347839,0.053730838000774384
7,25,Yes,No,0.9775242209434509,0.22150582075119019
7,26,Yes,No,0.9775242209434509,0.021728048101067543
7,27,Yes,No,0.9775242209434509,0.09840879589319229
7,28,Yes,No,0.9775242209434509,0.04910799488425255
8,29,Yes,No,0.9775619506835938,0.02379654161632061
8,30,Yes,No,0.9775619506835938,0.060676079243421555
8,31,Yes,No,0.9775619506835938,0.051525045186281204
8,32,Yes,No,0.9775619506835938,0.044449951499700546
9,33,Yes,No,0.929935097694397,0.17148882150650024
9,34,Yes,No,0.929935097694397,0.13398686051368713
9,35,Yes,Yes,0.929935097694397,0.5110452175140381
9,36,Yes,No,0.929935097694397,0.02003781497478485
10,37,Yes,No,0.9670003056526184,0.05238109454512596
10,38,Yes,Yes,0.9670003056526184,0.5110452175140381
10,39,Yes,No,0.9670003056526184,0.034782689064741135
10,40,Yes,No,0.9670003056526184,0.12948299944400787
11,41,Yes,No,0.8335610032081604,0.034309908747673035
11,42,Yes,No,0.8335610032081604,0.05474114418029785
11,43,Yes,No,0.8335610032081604,0.03264559060335159
11,44,Yes,No,0.8335610032081604,0.10425268858671188
12,45,Yes,No,0.986640214920044,0.0806661993265152
12,46,Yes,Yes,0.986640214920044,0.7862969636917114
12,47,Yes,No,0.986640214920044,0.02259969525039196
12,48,Yes,No,0.986640214920044,0.049806561321020126
13,49,Yes,No,0.975564181804657,0.029290294274687767
13,50,Yes,No,0.975564181804657,0.03584948554635048
13,51,Yes,No,0.975564181804657,0.027114205062389374
13,52,Yes,No,0.975564181804657,0.02853245474398136
14,53,Yes,No,0.939550518989563,0.0431937538087368
14,54,Yes,No,0.939550518989563,0.06403186917304993
14,55,Yes,No,0.939550518989563,0.045957691967487335
14,56,Yes,Yes,0.939550518989563,0.6970198750495911
15,57,Yes,No,0.9647701978683472,0.07813199609518051
15,58,Yes,No,0.9647701978683472,0.1892618089914322
15,59,Yes,No,0.9647701978683472,0.04588788375258446
15,60,Yes,No,0.9647701978683472,0.1790185570716858
16,61,Yes,No,0.980390191078186,0.04151035472750664
16,62,Yes,Yes,0.980390191078186,0.5579924583435059
16,63,Yes,No,0.980390191078186,0.05943741649389267
16,64,Yes,No,0.980390191078186,0.04653278738260269
17,65,Yes,No,0.9727912545204163,0.09802280366420746
17,66,Yes,No,0.9727912545204163,0.030849207192659378
17,67,Yes,No,0.9727912545204163,0.024355826899409294
17,68,Yes,No,0.9727912545204163,0.0337662510573864
18,69,Yes,No,0.9121151566505432,0.040223103016614914
18,70,Yes,No,0.9121151566505432,0.026160655543208122
18,71,Yes,No,0.9121151566505432,0.08135996758937836
18,72,Yes,No,0.9121151566505432,0.026372438296675682
19,73,No,No,0.11075129359960556,0.057268865406513214
19,74,No,No,0.11075129359960556,0.027775781229138374
19,75,No,No,0.11075129359960556,0.030579175800085068
19,76,No,No,0.11075129359960556,0.03815187141299248
20,77,Yes,No,0.9729527235031128,0.044602084904909134
20,78,Yes,No,0.9729527235031128,0.03801548108458519
20,79,Yes,No,0.9729527235031128,0.03493759036064148
20,80,Yes,No,0.9729527235031128,0.02361670508980751
21,81,Yes,No,0.9673166871070862,0.03487493470311165
21,82,Yes,No,0.9673166871070862,0.03676293045282364
21,83,Yes,No,0.9673166871070862,0.038623739033937454
21,84,Yes,No,0.9673166871070862,0.03028307855129242
22,85,Yes,No,0.9738710522651672,0.0331106036901474
22,86,Yes,No,0.9738710522651672,0.02961544878780842
22,87,Yes,No,0.9738710522651672,0.028460340574383736
22,88,Yes,No,0.9738710522651672,0.05467861890792847
23,89,Yes,No,0.8769382238388062,0.04721410572528839
23,90,Yes,No,0.8769382238388062,0.038137756288051605
23,91,Yes,No,0.8769382238388062,0.03672456741333008
23,92,Yes,No,0.8769382238388062,0.0626068189740181
24,93,Yes,No,0.9694902896881104,0.10668175667524338
24,94,Yes,No,0.9694902896881104,0.03842168673872948
24,95,Yes,No,0.9694902896881104,0.17157192528247833
24,96,Yes,No,0.9694902896881104,0.05255180224776268
25,97,Yes,No,0.9216724634170532,0.040400583297014236
25,98,Yes,Yes,0.9216724634170532,0.5740767121315002
25,99,Yes,No,0.9216724634170532,0.10549154877662659
25,100,Yes,No,0.9216724634170532,0.3444576859474182
26,101,Yes,No,0.8755958676338196,0.05426676571369171
26,102,Yes,Yes,0.8755958676338196,0.533193051815033
26,103,Yes,No,0.8755958676338196,0.1713281273841858
26,104,Yes,No,0.8755958676338196,0.057890843600034714
27,105,Yes,No,0.5380510687828064,0.04864998161792755
27,106,Yes,Yes,0.5380510687828064,0.6368140578269958
27,107,Yes,No,0.5380510687828064,0.040400583297014236
27,108,Yes,No,0.5380510687828064,0.04415609687566757
28,109,Yes,No,0.9844875931739807,0.04021875187754631
28,110,Yes,No,0.9844875931739807,0.0321507528424263
28,111,Yes,No,0.9844875931739807,0.060830578207969666
28,112,Yes,No,0.9844875931739807,0.051015328615903854
29,113,Yes,No,0.9597862958908081,0.09967970103025436
29,114,Yes,No,0.9597862958908081,0.24862192571163177
29,115,Yes,No,0.9597862958908081,0.033461153507232666
29,116,Yes,No,0.9597862958908081,0.07048492878675461
30,117,Yes,No,0.982535183429718,0.05127175897359848
30,118,Yes,No,0.982535183429718,0.1706843376159668
30,119,Yes,No,0.982535183429718,0.07285924255847931
30,120,Yes,Yes,0.982535183429718,0.6947225332260132
31,121,Yes,Yes,0.9655421376228333,0.6632762551307678
31,122,Yes,No,0.9655421376228333,0.09295906126499176
31,123,Yes,No,0.9655421376228333,0.1706843376159668
31,124,Yes,No,0.9655421376228333,0.08692964911460876
32,125,Yes,No,0.9867333173751831,0.03684753552079201
32,126,Yes,No,0.9867333173751831,0.07059083878993988
32,127,Yes,No,0.9867333173751831,0.05569349601864815
32,128,Yes,No,0.9867333173751831,0.05849044397473335
33,129,Yes,No,0.9271508455276489,0.03748057410120964
33,130,Yes,No,0.9271508455276489,0.044791389256715775
33,131,Yes,No,0.9271508455276489,0.024106204509735107
33,132,Yes,No,0.9271508455276489,0.12328148633241653
34,133,Yes,No,0.8789435625076294,0.048350971192121506
34,134,Yes,No,0.8789435625076294,0.029985325410962105
34,135,Yes,No,0.8789435625076294,0.041906118392944336
34,136,Yes,Yes,0.8789435625076294,0.948428213596344
35,137,Yes,No,0.9583306312561035,0.029822012409567833
35,138,Yes,No,0.9583306312561035,0.041011083871126175
35,139,Yes,No,0.9583306312561035,0.041906118392944336
35,140,Yes,No,0.9583306312561035,0.048350971192121506
36,141,Yes,No,0.9752427339553833,0.15646424889564514
36,142,Yes,No,0.9752427339553833,0.03810775279998779
36,143,Yes,No,0.9752427339553833,0.04528575390577316
36,144,Yes,No,0.9752427339553833,0.05984945595264435
37,145,Yes,No,0.7690179347991943,0.02715184912085533
37,146,Yes,No,0.7690179347991943,0.11167414486408234
37,147,Yes,No,0.7690179347991943,0.035409148782491684
37,148,Yes,No,0.7690179347991943,0.16019375622272491
38,149,Yes,No,0.8422239422798157,0.03938063979148865
38,150,Yes,No,0.8422239422798157,0.11167414486408234
38,151,Yes,No,0.8422239422798157,0.030232703313231468
38,152,Yes,No,0.8422239422798157,0.022069482132792473
39,153,Yes,No,0.9052374958992004,0.03278956562280655
39,154,Yes,No,0.9052374958992004,0.02080123871564865
39,155,Yes,No,0.9052374958992004,0.03800153359770775
39,156,Yes,No,0.9052374958992004,0.025649050250649452
40,157,Yes,No,0.6948638558387756,0.05351502075791359
40,158,Yes,No,0.6948638558387756,0.06263463199138641
40,159,Yes,No,0.6948638558387756,0.06020556017756462
40,160,Yes,No,0.6948638558387756,0.05668925493955612
41,161,No,No,0.3221202790737152,0.05457129329442978
41,162,No,No,0.3221202790737152,0.06478459388017654
41,163,No,No,0.3221202790737152,0.37668848037719727
41,164,No,No,0.3221202790737152,0.06020556017756462
42,165,Yes,No,0.7416438460350037,0.04721321910619736
42,166,Yes,No,0.7416438460350037,0.04227450117468834
42,167,Yes,No,0.7416438460350037,0.12847371399402618
42,168,Yes,No,0.7416438460350037,0.05579450726509094
