word,count
right,565623
left,563874
Are,523959
image,252133
fence,239493
man,221797
picture,175446
car,157408
color,149468
woman,147069
chair,132047
person,118765
table,113498
photo,108249
bag,104885
plate,88986
bus,79182
helmet,77314
glass,75230
side,66385
grass,66072
vehicle,65000
look,64440
animal,63776
boy,62146
window,58544
bottle,58060
shirt,55935
train,55661
door,54551
lamp,51604
dog,51451
umbrella,50891
truck,50476
clock,49602
furniture,48464
top,48415
bench,48266
girl,47510
bottom,46738
cup,46719
sky,45911
mirror,45844
people,44774
pillow,43527
scene,43401
cat,42533
food,41058
front,40290
device,39521
cabinet,39025
photograph,38248
wood,37016
bowl,36994
horse,36733
bed,35673
shelf,35487
box,34966
racket,32957
computer,32393
tree,32185
kind,31361
hat,31086
giraffe,30616
part,30517
skateboard,30364
orange,29181
boat,27778
phone,27391
ball,27309
men,26984
elephant,26786
bear,26101
bird,26045
blue,26006
fork,25815
piece,25682
container,25659
flag,25449
pizza,25110
hair,24892
laptop,24578
bike,24351
book,24023
backpack,23778
toilet,23394
knife,23336
towel,22742
surfboard,21623
airplane,21244
keyboard,21194
desk,21111
curtain,20867
water,20663
pot,20636
zebra,19904
napkin,19890
spoon,19693
motorcycle,19612
kite,19594
cow,19440
metal,19213
lady,19066
couch,18845
jacket,18677
player,18493
sign,18463
mouse,18325
vegetable,18291
child,18145
blanket,18140
ski,18115
wall,17988
paper,17722
bicycle,17353
floor,17341
frisbee,16686
house,16673
coat,16458
cake,16413
type,16394
banana,16162
television,15963
coffee,15941
appliance,15934
refrigerator,15863
bread,15843
outdoors,15831
tray,15506
van,15479
tennis,14921
traffic,14674
light,14508
fruit,14500
drawer,14276
guy,13898
street,13646
hydrant,13345
screen,13122
item,13093
building,13022
shoe,12975
fire,12814
sand,12772
purse,12368
camera,12257
middle,11836
brown,11825
field,11816
carrot,11768
short,11642
stove,11584
Which,11555
rope,11537
tomato,11469
utensil,11448
sheep,11425
monitor,11377
clothing,11373
speaker,11132
glove,11099
tower,10890
jean,10841
wine,10803
meat,10776
oven,10738
vase,10698
letter,10656
pant,10581
sandwich,10573
can,10563
silver,10450
cap,10409
plastic,10398
faucet,10232
rug,10208
pepper,10049
apple,10019
size,10013
cone,9946
catcher,9884
bat,9813
snow,9780
microwave,9653
indoors,9537
broccoli,9334
trouser,9302
road,9288
suitcase,9242
ground,9236
cell,9156
cheese,8884
snowboard,8789
dispenser,8607
onion,8592
mug,8570
sofa,8516
control,8498
cart,8286
sink,8248
tent,8208
kid,8207
soap,8165
beach,8159
trash,8100
candle,7870
cloud,7758
toy,7705
tablecloth,7681
baby,7664
pan,7602
controller,7400
cloudy,7346
tie,7303
round,7298
counter,7273
plane,7121
pad,6942
center,6941
baseball,6893
batter,6885
donut,6852
drink,6845
TV,6823
motorbike,6645
board,6638
umpire,6551
leaf,6507
nightstand,6484
scarf,6477
sidewalk,6447
place,6423
name,6355
material,6299
gray,6248
flower,6239
pole,6033
statue,6027
painting,6005
lettuce,5880
blond,5875
bucket,5781
SUV,5553
boot,5526
telephone,5482
scooter,5410
taxi,5345
vas,5293
jar,5288
ladder,5199
chimney,5185
tail,5141
dishwasher,5127
sheet,5084
potato,5065
blind,5035
toothbrush,4796
dessert,4755
dress,4638
green,4631
collar,4433
weather,4431
wetsuit,4422
bookshelf,4411
bridge,4383
aircraft,4382
tissue,4377
fridge,4361
planter,4333
bun,4312
spectator,4308
basket,4260
skier,4240
freezer,4196
kettle,4194
magazine,4125
vest,4092
dark,4081
rice,4069
crate,4013
beer,3964
shaker,3955
cage,3951
pine,3890
mat,3874
sweater,3866
egg,3821
suit,3774
number,3771
bookcase,3769
garbage,3750
watercraft,3705
kitchen,3633
bathroom,3601
remote,3599
word,3591
surfer,3536
pink,3522
ice,3481
dish,3474
palm,3445
dresser,3440
bin,3434
cooking,3414
logo,3397
salad,3377
goat,3353
skirt,3338
gold,3324
dirt,3222
carriage,3199
wire,3190
cellphone,3098
mud,3079
Wii,3062
trailer,3049
sock,3035
length,3001
safety,2989
wooden,2944
brush,2936
belt,2918
tall,2871
strawberry,2866
duck,2865
packet,2858
cupboard,2855
saucer,2825
room,2822
meter,2803
goggles,2795
slice,2794
tap,2782
briefcase,2781
lemon,2772
rock,2767
skateboarder,2748
steel,2726
purple,2713
metallic,2706
soccer,2697
tan,2689
cucumber,2687
driver,2669
post,2665
bulb,2603
mushroom,2590
yellow,2558
crown,2540
figurine,2522
watch,2509
printer,2475
lid,2470
blender,2469
uniform,2465
hose,2452
tire,2435
passenger,2432
cab,2429
stroller,2383
mattress,2376
lamb,2359
sauce,2348
tractor,2338
parking,2326
leather,2290
shape,2282
seat,2277
pipe,2264
ceiling,2262
toaster,2249
stop,2239
scissors,2217
lock,2216
tea,2206
paddle,2203
pastry,2195
tool,2170
spatula,2163
salt,2148
gate,2130
headphone,2130
soup,2106
notebook,2095
radiator,2086
bell,2078
end,2076
carpet,2074
nose,2041
dumpster,2039
ottoman,2034
brick,2027
sneaker,2022
sandal,2009
doll,2001
fry,1993
smoke,1973
wallet,1961
park,1951
gift,1935
necklace,1934
jersey,1920
machine,1915
wearing,1909
life,1868
cigarette,1858
chandelier,1851
square,1851
mountain,1826
necktie,1825
comforter,1823
pedestrian,1811
mannequin,1809
arrow,1808
battery,1807
officer,1802
frame,1798
pen,1792
cream,1792
cube,1785
sculpture,1778
stone,1776
surf,1750
ocean,1728
mailbox,1723
maker,1722
veggie,1699
air,1693
bouquet,1690
pepperoni,1687
nightstands,1677
bull,1675
parachute,1671
wet,1666
hammer,1665
bedspread,1663
cabbage,1662
outfit,1657
olive,1635
shopping,1634
doughnut,1633
roof,1633
broom,1617
Was,1615
appear,1593
guitar,1592
binder,1581
plier,1577
game,1569
bathtub,1567
candy,1558
tank,1552
sponge,1540
chocolate,1539
mane,1528
snowboarder,1527
countertop,1521
buoy,1519
pilot,1517
cooky,1514
station,1511
extinguisher,1503
CDs,1498
placemat,1483
envelope,1479
fur,1479
dirty,1477
stand,1456
stuffed,1445
knee,1445
bacon,1443
shower,1439
pattern,1434
tile,1430
juice,1428
walk,1424
jeep,1406
signal,1402
mask,1400
gender,1392
shield,1388
soda,1388
adult,1381
pasta,1376
tub,1375
drape,1374
balloon,1372
sausage,1362
object,1355
wear,1355
handbag,1350
pineapple,1347
lot,1341
DVD,1320
berry,1319
star,1318
alarm,1313
chicken,1313
shrub,1312
clothes,1311
chain,1311
bush,1310
comb,1306
plant,1297
eye,1275
office,1267
bedroom,1264
t-shirt,1234
tshirt,1234
heart,1231
cupcake,1227
concrete,1223
skater,1215
hill,1210
sack,1203
headboard,1202
placemats,1198
donkey,1192
chalkboard,1189
radio,1189
river,1187
customer,1184
cloudless,1178
pear,1158
hand,1152
bracelet,1148
wagon,1146
garland,1137
beverage,1130
grinder,1129
luggage,1125
tee,1117
zoo,1116
microphone,1115
panda,1102
mousepad,1100
made,1095
policeman,1090
grape,1086
standing,1086
thick,1085
wheelchair,1082
sugar,1076
seagull,1072
cane,1068
kitten,1066
worker,1065
ring,1057
bar,1054
cloth,1051
height,1048
fan,1043
calf,1039
apron,1039
minivan,1035
cardboard,1034
sailboat,1027
tongs,1026
muffin,1020
bean,1020
wheel,1018
toddler,1016
squirrel,1014
porcelain,1011
nut,1011
notepad,1002
cement,998
cord,998
entertainment,998
soldier,996
dryer,996
blouse,994
hamburger,992
toothpaste,987
sweatshirt,987
cyclist,981
bath,977
lion,971
home,968
stool,962
block,961
milk,961
cash,958
register,958
canister,954
pig,954
toolbox,953
living,950
mixer,950
specie,950
ham,944
urinal,939
trunk,936
spinach,936
antelope,936
drapery,934
diaper,933
jet,931
path,930
football,929
cherry,928
student,927
stainless,926
sticker,925
lipstick,919
trashcan,918
wig,912
ambulance,912
calm,906
poster,905
celery,904
bomb,900
band,897
nest,889
ostrich,884
bandage,883
bare,882
walking,881
cigar,878
heater,874
thing,870
clip,864
rhino,860
tourist,857
track,852
platform,851
monkey,851
barn,850
waste,849
pitcher,843
armor,842
frog,836
drainers,833
pickle,832
wristband,829
forest,825
spray,812
butterfly,810
today,806
snack,803
visitor,802
ipod,799
washer,797
vendor,795
console,794
pancake,791
wineglass,790
locomotive,788
airport,788
butter,787
TVs,786
beige,776
cookie,771
calculator,771
pigeon,769
coin,768
hairbrush,765
shore,765
tablet,765
maroon,749
visible,746
pavement,745
instrument,744
chess,731
corn,730
steam,729
shopper,728
cabin,725
farmer,721
balcony,713
wetsuits,705
deer,704
dream,703
armchair,700
lake,700
chopstick,695
paint,694
toast,690
iron,689
playing,686
blueberry,679
cereal,676
jockey,675
photographer,672
biker,669
piano,667
shampoo,666
ketchup,663
parrot,659
charger,657
beak,656
police,655
parsley,653
canopy,652
log,652
feather,650
dining,650
oar,650
conditioner,649
branch,647
mother,645
chef,644
