item,layer,sim
1,0,0.1256401538848877
2,0,0.12199501693248749
3,0,0.05939096584916115
4,0,0.10250041633844376
5,0,0.11259529739618301
6,0,0.0587158277630806
7,0,0.09220621734857559
8,0,0.11511319875717163
9,0,0.039847392588853836
10,0,0.08239517360925674
11,0,0.0714193731546402
12,0,0.11657891422510147
13,0,0.04920361191034317
14,0,0.08158247172832489
15,0,0.03852902352809906
16,0,0.1590295433998108
17,0,0.07962546497583389
18,0,0.18995484709739685
19,0,0.07867881655693054
20,0,0.057371169328689575
21,0,0.08961353451013565
22,0,0.12977074086666107
23,0,0.042441606521606445
24,0,0.12371809780597687
25,0,0.030984103679656982
26,0,0.13167864084243774
27,0,0.05583321675658226
28,0,0.15173746645450592
29,0,0.21416310966014862
30,0,0.1812211573123932
31,0,0.15230052173137665
32,0,0.20532172918319702
33,0,0.12359293550252914
34,0,0.11318313330411911
35,0,0.04761778563261032
36,0,0.11728120595216751
37,0,0.06440936774015427
38,0,0.06391031295061111
39,0,0.03509240597486496
40,0,0.05095899850130081
41,0,0.09500433504581451
42,0,0.06148216873407364
43,0,0.11793939769268036
44,0,0.09349560737609863
45,0,0.11938076466321945
46,0,0.053227514028549194
47,0,0.07061705738306046
48,0,0.047355711460113525
49,0,0.01792110875248909
50,0,0.10264842212200165
51,0,0.13418760895729065
52,0,0.034143801778554916
53,0,0.10554927587509155
54,0,0.0615827776491642
55,0,0.0667668879032135
56,0,0.05317648500204086
57,0,0.08746252954006195
58,0,0.07014652341604233
59,0,0.05207665637135506
60,0,0.1704954206943512
61,0,0.10395324975252151
62,0,0.1762043684720993
63,0,0.1488434374332428
64,0,0.06900113075971603
65,0,0.05984837934374809
66,0,0.052446261048316956
67,0,0.10136791318655014
68,0,0.06456683576107025
69,0,0.177358478307724
70,0,0.0977664515376091
71,0,0.12570786476135254
72,0,0.001312974956817925
73,0,0.038290925323963165
74,0,0.1258680820465088
75,0,0.08468518406152725
76,0,0.0590609572827816
77,0,0.09118834137916565
78,0,0.06762537360191345
79,0,0.197856605052948
80,0,0.10447151958942413
81,0,0.02611098438501358
82,0,0.055395934730768204
83,0,0.09200241416692734
84,0,0.08044498413801193
85,0,0.07667135447263718
86,0,0.15957003831863403
87,0,0.08776401728391647
88,0,0.037715449929237366
89,0,0.10335543751716614
90,0,0.1350686401128769
91,0,0.07122893631458282
92,0,0.0776386633515358
93,0,0.05133721977472305
94,0,0.07904872298240662
95,0,0.08287474513053894
96,0,0.07800516486167908
97,0,0.15563035011291504
98,0,0.08001048862934113
99,0,0.10503777861595154
100,0,0.11247555911540985
101,0,0.10906140506267548
102,0,0.07378141582012177
103,0,0.08125931769609451
104,0,0.07292462140321732
105,0,0.054453592747449875
106,0,0.09883454442024231
107,0,0.09148602932691574
108,0,0.09739361703395844
109,0,0.11065567284822464
110,0,0.2051454484462738
111,0,0.11876263469457626
112,0,0.09137459099292755
113,0,0.07444211840629578
114,0,0.19111260771751404
115,0,0.021008994430303574
116,0,0.0397285632789135
117,0,0.1268639713525772
118,0,0.06112658977508545
119,0,0.09153193235397339
120,0,0.06389208883047104
121,0,0.09266342222690582
122,0,0.04870707541704178
123,0,0.05653420835733414
124,0,0.061480812728405
125,0,0.05973814055323601
126,0,0.2083706557750702
127,0,0.07397773861885071
128,0,0.09726746380329132
129,0,0.05104702338576317
130,0,0.0564432218670845
131,0,0.08674076199531555
132,0,0.09265944361686707
133,0,0.0600549541413784
134,0,0.11918874084949493
135,0,0.12820850312709808
136,0,0.12752239406108856
137,0,0.08228732645511627
138,0,0.08761890232563019
139,0,0.15664391219615936
140,0,0.15865015983581543
141,0,0.123508520424366
142,0,0.0722440779209137
143,0,0.08997157216072083
144,0,0.08848012983798981
145,0,0.11119519919157028
146,0,0.06277559697628021
147,0,0.06313875317573547
148,0,0.05993823707103729
149,0,0.042391300201416016
150,0,0.10405613481998444
151,0,0.0784943625330925
152,0,0.08035384863615036
153,0,0.14888153970241547
154,0,0.10260680317878723
155,0,0.05084879696369171
156,0,0.054172128438949585
157,0,0.08344795554876328
158,0,0.0912599265575409
159,0,0.08545377105474472
160,0,0.06449439376592636
161,0,0.07640868425369263
162,0,0.08708503097295761
163,0,0.07063455879688263
164,0,0.04573412612080574
165,0,0.10638875514268875
166,0,0.12286656349897385
167,0,0.059609826654195786
168,0,0.04719124734401703
169,0,0.07152879238128662
170,0,0.15676267445087433
171,0,0.04396739602088928
172,0,0.07118834555149078
173,0,0.1071697399020195
174,0,0.08535358309745789
175,0,0.014294813387095928
176,0,0.0646311491727829
177,0,0.05200420320034027
178,0,0.013315594755113125
179,0,0.06943512707948685
180,0,0.07114796340465546
181,0,0.09717707335948944
182,0,0.046300824731588364
183,0,0.060052551329135895
184,0,0.20157817006111145
185,0,0.1395968645811081
186,0,0.1082618236541748
187,0,0.16369135677814484
188,0,0.1836199015378952
189,0,0.04755954444408417
190,0,0.06020394712686539
191,0,0.06931528449058533
192,0,0.1250678151845932
193,0,0.13120625913143158
194,0,0.13891255855560303
195,0,0.09770148992538452
196,0,0.08279693126678467
197,0,0.049074772745370865
198,0,0.06665988266468048
199,0,0.13380658626556396
200,0,0.18604235351085663
201,0,0.05051576718688011
202,0,0.05782923847436905
203,0,0.08313591778278351
204,0,0.06415004283189774
